Course Code,Venue,Room
AIL7320,Computer Science,101
LAL1020,Computer Science,102
CYL2030,Chemistry,107
CYL6320,Chemistry,108
CYL7380,Chemistry,108
LAL1030,Mechanical,108
DSL6070,Mechanical,109
PHL2040,Physics,101
PHL2080,Physics,102
PHL2050,Physics,104
MSL7220,Physics,105
MTL3040,Materials,109
PHL4010,Materials,110
PHL2060,Materials,112
PHL7490,Materials,113
PHL2070,SME,L1
LAL3020,SME,L2
AIL7140,SME,L5
SHL7450,SME,L6
CYL2010,LHC-1,105
MEL3040,LHC-1,106
AIL6110,LHC-1,204
BBL3110,LHC-1,205
CHL3030,LHC-1,206
CIL3020,LHC-1,207
CYL6040,LHC-1,304
MSL7290,LHC-1,305
DSL7200,LHC-1,306
CSL3050,LHC-1,308
EEL3040,LHC-1,308
CSL2040,LHC-1,110
MSL73320,LHC-1,110
EDL2010,LHC-2,101
PHL2011,LHC-2,102
CSL4010,LHC-2,103
QCL7070,CSE,101
BBL7630,CSE,102
CHL7070,Chemistry,107
CIL7420,Civil,109
CIL7870,Civil,110
CIL7660,Electrical,108
EEL7080,Electrical,109
EEL7160,Electrical,114
ETL7140,Electrical,114
EEL7970,Electrical,115
MEL7010,Mechanical,108
MEL7040,Mechanical,109
LAL7390,Physics,102
PHL6020,Physics,104
MTL7260,Materials,109
MAL7520,Materials,110
RML7050,Materials,113
MAL6030,SME,L1
MAL7012,SME,L1
MAL7110,SME,L2
MSL73210,SME,L2
DHL5020,SME,L5
DSL7140,SME,L5
EDL7030,SME,L6
LAL7110,SME,L6
CSL7570,LHC-1,105
CSL1010,LHC-1,105
CSL1010,LHC-1,106
CSL1010,LHC-1,110
DSL7360,LHC-1,106
AIL7310,LHC-1,204
CSL7560,LHC-1,205
CYL6020,LHC-1,206
CYL1010,LHC-1,304
CYL1010,LHC-1,305
CYL1010,LHC-1,306
CYL1010,LHC-1,307
CYL1010,LHC-1,308
CSL7460,CSE,101
BBL4240,Bioscience,101
DHL7080,Bioscience,105
CHL7020,Chemistry,107
CYL7500,Chemistry,108
CIL7910,Civil,109
EEL3340,Electrical,108
EEL71360,Electrical,109
EEL4520,Electrical,114
EEL7009,Electrical,114
EEL7340,Electrical,115
MEL7950,Mechanical,108
MEL4040,Mechanical,109
MEL7980,Mechanical,109
LAL3130,Mechanical,114
MEL7750,Mechanical,115
PHL7400,Physics,101
PHL6050,Physics,104
MTL7520,Materials,109
MSL72030,Materials,113
MAL5010,SME,L1
DHL5010,SME,L5
DHP7010,SME,L6
LAL3090,LHC-1,105
CSL7480,LHC-1,106
CYL6010,LHC-1,204
LAL3060,LHC-1,205
LAL3120,LHC-1,206
MAL2120,LHC-1,207
MEL1010,LHC-1,304
MEL1010,LHC-1,305
MEL1010,LHC-1,306
MEL1010,LHC-1,307
MEL1010,LHC-1,308
MSL7440,LHC-1,308
BBL1020,LHC-1,110
QCL2010,LHC-1,110
MSL73060,LHC-2,101
LAL3040,LHC-2,102
MEL6050,LHC-2,103
CSL7860,LHC-1,105
EEL71530,LHC-1,204
EEL7710,LHC-1,205
EEL7980,LHC-1,205
MSL73020,LHC-1,206
MSL7310,LHC-1,206
CYL4010,Bioscience,102
CYL2070,Chemistry,107
CYL3020,Chemistry,107
CIL3010,Physics,101
PHL2100,Physics,102
PHL3020,Physics,105
DSL7120,Materials,109
LAL3010,Materials,110
DSL6080,Materials,112
EEL7900,SME,L5
MSL72270,SME,L6
MAL2010,LHC-1,105
MEL3020,LHC-1,105
MAL2010,LHC-1,106
QCL7350,LHC-1,204
CSL3090,LHC-1,304
CSL3090,LHC-1,305
CSL3090,LHC-1,306
CSL3090,LHC-1,308
CSL3030,LHC-1,308
MAL2010,LHC-1,110
EEL3010,LHC-2,101
MSL73070,LHC-2,102
MSL7390,LHC-2,103
EDL1010,LHC-2,103
AIL7240,Computer Science,101
BBL7350,Computer Science,102
SHL7050,Bioscience,101
CYQ6010,Chemistry,107
CHL7030,Chemistry,108
CIL7340,Civil,109
CIL7860,Civil,109
CIL7850,Civil,110
EEL7181,Electrical,108
EEL7010,Electrical,109
EEL7040,Electrical,114
EEL7180,Electrical,114
EEL71590,Electrical,115
ETL7130,Electrical,115
MEL7081,Mechanical,108
MEL7060,Mechanical,114
MEL7960,Mechanical,115
PHL6030,Physics,101
PHL7521,Physics,102
MTL7250,Materials,109
LAL7580,Materials,110
MAL5020,Materials,112
MTL7270,Materials,113
MSL7650,SME,L1
LAL6180,SME,5
CSL7090,LHC-1,105
MSL4010,LHC-1,106
CYL6030,LHC-1,204
LAL6060,LHC-1,205
MSL7520,LHC-1,206
EEL1010,LHC-1,304
EEL1010,LHC-1,305
EEL1010,LHC-1,306
EEL1010,LHC-1,307
EEL1010,LHC-1,308
CSL7610,LHC-1,308
PHL1010,LHC-1,110
DSL7070,LHC-2,101
DSL7230,LHC-2,101
AIL3010,Computer Science,101
CHL7590,Computer Science,102
CYL2060,Chemistry,107
CYL7510,Chemistry,108
EEL7330,Electrical,108
MEL7140,Mechanical,108
MEL7470,Mechanical,109
MEL7560,Mechanical,114
MAL6320,Mechanical,115
CIL4360,Physics,101
RML7170,Physics,102
PHL7430,Physics,104
MTL4350,Materials,109
MTL7410,Materials,110
MTL7560,Materials,112
MSL71920,SME,L1
MAL1010,LHC-1,105
MAL1010,LHC-1,106
MAL1010,LHC-1,204
MAL1010,LHC-1,205
MAL1010,LHC-1,206
MAL1010,LHC-1,207
MAL1010,LHC-1,110
BBL2300,LHC-1,304
MSL7510,LHC-1,305
CSL7870,LHC-1,308
MEL6060,LHC-1,308
LAL3030,LHC-2,101
LAL3110,LHC-2,101
LAL3070,LHC-2,102
LAL3080,LHC-2,103
MSL73090,LHC-2,103
CYL6370,LHC-1,204
QCL7320,LHC-1,205
EEL7770,LHC-1,204
CSL7830,LHC-1,204
MSL7060,LHC-1,205
CYL7020,Bioscience,101
BBL7200,Chemistry,107
CYL3030,Chemistry,108
LAL6070,Civil,109
LAL6150,Civil,110
LAL7440,Civil,110
MSL1010,Mechanical,108
MSL1010,Mechanical,109
MEL3050,Physics,101
MEL3050,Physics,102
MTL3020,Physics,104
PHL3010,Physics,105
MSL73300,Materials,109
MSL73300,Materials,112
SHL7030,Materials,113
MAL7120,SME,L1
MSL7300,SME,L2
DHL7050,SME,L5
EDL7020,SME,L5
CSL2020,LHC-1,105
CSL2010,LHC-1,105
CSL2020,LHC-1,106
CSL2010,LHC-1,106
CSL2020,LHC-1,110
CSL2010,LHC-1,110
AIL7380,LHC-1,204
CHL3010,LHC-1,205
CIL3040,LHC-1,206
MSL7580,LHC-1,207
MSL7580,LHC-1,304
PHL2030,LHC-1,305
AIL6010,LHC-1,306
AIL6010,LHC-1,307
CSL3010,LHC-1,308
LAL7490,LHC-2,101
EEL3020,LHC-2,102
DSL6060,LHC-2,102
EEL3050,LHC-2,103
AIL4080,Computer Science,101
AIL7060,Computer Science,102
BBL7640,Bioscience,101
BBL7381,Bioscience,101
CHL4370,Chemistry,107
CYL7310,Chemistry,108
AIL7210,Civil,109
EEL7150,Electrical,108
EEL71610,Electrical,109
EEL7190,Electrical,109
LAL7860,Mechanical,108
CIL7830,Physics,101
QCL7060,Physics,102
PHL6010,Physics,104
MAL7530,Physics,105
MTL7080,Materials,109
LAL6030,Materials,110
MTL7170,Materials,112
DHL6020,Materials,113
MSL73200,SME,L1
SHL7040,SME,L2
EDL7040,SME,L5
MAL4320,SME,L6
CYL6050,LHC-1,204
MAL6020,LHC-1,205
MEL7970,LHC-1,206
MSL7620,LHC-1,207
AIL7430,LHC-1,304
QCL7080,LHC-1,305
CSL7620,LHC-1,308
CYL1020,LHC-1,105
MAL2110,LHC-1,204
BBL4063,LHC-1,105
LAL6080,LHC-1,106
CIL4350,LHC-1,204
CHL7460,LHC-1,205
LAL6170,LHC-1,206
LAL7930,LHC-1,206
PHL7010,LHC-1,304
MAL2020,LHC-1,308
CSL3130,LHC-1,110
MAL7430,Library,CC Lab-2
CSL7130,LHC-2,101
PHL2031,LHC-2,102
MSL7380,SME,L5
EEL7320,LHC-1,105
MSL71040,LHC-1,204
MSL73040,LHC-1,205
OAL7010,LHC-1,308
MSL73080,LHC-2,101
AIL7120,Computer Science,101
CYL2020,Chemistry,107
CYL7010,Chemistry,108
DHL6010,Physics,102
PHL2090,Physics,105
MTL3030,Materials,109
SHL7470,Materials,110
MSL71400,SME,L1
DSL7190,SME,L2
MSL73220,SME,L5
EDL7010,SME,L6
LAL2180,LHC-1,105
MAL1030,LHC-1,106
BBL3100,LHC-1,204
CIL3030,LHC-1,205
AIL7160,LHC-1,206
AIL7160,LHC-1,207
BBL2010,LHC-1,304
BBL2010,LHC-1,305
LAL4070,LHC-1,306
LAL4070,LHC-1,307
CSL7650,LHC-1,308
MEL2020,LHC-1,110
EEL3030,LHC-1,110
MSL73310,LHC-2,101
LAL4090,LHC-2,102
MEL3010,LHC-2,103
AIL6060,Computer Science,101
AIL7290,Computer Science,102
BBL7420,Bioscience,101
RML6010,Bioscience,102
RML7240,Bioscience,104
BBL7610,Bioscience,105
CYL3010,Chemistry,107
CYL7340,Chemistry,108
LAL6050,Civil,109
LAL7610,Civil,110
EEL71550,Electrical,108
EEL71560,Electrical,109
EEL7170,Electrical,114
EEL7171,Electrical,114
EEL7910,Electrical,115
MEL7330,Mechanical,108
MEL7080,Mechanical,109
MEL7450,Mechanical,114
MEL7500,Mechanical,115
CIL7840,Physics,101
LAL7940,Physics,102
PHL6040,Physics,104
PHL7020,Physics,105
MAL6010,Materials,109
MTL7330,Materials,110
MAL6330,Materials,112
MTL7540,Materials,113
RML7270,SME,L1
SHL7060,SME,L2
DHL7060,SME,L5
EEL7008,SME,L6
CHL4210,LHC-1,105
CSL7310,LHC-1,106
LAL7620,LHC-1,204
AIL4070,LHC-2,101
MSL7640,LHC-2,102
MTL7760,LHC-2,103
LAL6190,SME,L5
LAL1010,LHC-2,101
MSL7320,SME,L1
CSL7590,LHC-1,204
EEL71570,LHC-1,204
ESR4020,LHC-1,205
MSL73050,LHC-1,205
BBL7500,Bioscience,101
LAL7030,Bioscience,102
PHL2020,Physics,101
LAL6110,Physics,102
PHL3030,Physics,105
MTL3010,Materials,109
SHL7020,Materials,110
DSL7220,SME,L1
DSL7310,SME,L2
DHL7100,SME,L5
ETL7120,SME,L6
CIL4010,LHC-1,105
CIL4010,LHC-1,106
CIL4010,LHC-1,204
CIL4010,LHC-1,205
CIL4010,LHC-1,206
CIL4010,LHC-1,110
EEL2010,LHC-1,105
EEL2010,LHC-1,106
EEL2010,LHC-1,110
BBL3120,LHC-1,207
CHL2010,LHC-1,304
CHL3040,LHC-1,305
CIL2010,LHC-1,306
CIL3050,LHC-1,307
CSL3040,LHC-1,308
CSL4030,LHC-2,101
PHL1020,LHC-2,101
MEL2010,LHC-2,102
MEL3030,LHC-2,103
MSL7690,LHC-2,103
AIL4230,Computer Science,101
AIL7260,Computer Science,102
BBL7110,Bioscience,101
BBL7121,Bioscience,102
BBL7620,Bioscience,104
CHL7490,Chemistry,107
CHL7710,Chemistry,108
CIL7520,Civil,109
CIL7900,Civil,109
CIL7920,Civil,110
EEL7030,Electrical,108
EEL7370,Electrical,109
ETL7080,Electrical,114
ETL7110,Electrical,115
MEL7400,Mechanical,108
MEL7620,Mechanical,109
PHL7360,Physics,102
LAL7870,Materials,110
LAL4750,Materials,110
MTL7550,Materials,112
MTL7340,Materials,113
MSP7030,SME,L2
DSL7410,SME,L5
LAL4670,SME,L6
CHL7310,LHC-1,204
CYL7370,LHC-1,205
EEL7640,LHC-1,206
CSL7360,LHC-1,308
MAL6080,LHC-2,101
MAL7011,LHC-2,101
CSL7750,LHC-2,101
EEL71580,LHC-1,204
MTL7230,LHC-1,205
EEL7698,LHC-1,205
MSL7450,LHC-1,308
